CMDLINE /Users/vadimleshchev/opt/anaconda3/envs/YandexContest/bin/python main.py
MEM 286.660156 1626984884.3157
MEM 289.023438 1626984884.4195
MEM 291.425781 1626984884.5229
MEM 293.421875 1626984884.6236
MEM 294.765625 1626984884.7278
MEM 297.417969 1626984884.8311
MEM 299.871094 1626984884.9363
MEM 302.296875 1626984885.0393
MEM 304.722656 1626984885.1427
MEM 307.152344 1626984885.2474
MEM 309.593750 1626984885.3516
MEM 311.906250 1626984885.4520
MEM 314.324219 1626984885.5562
MEM 316.718750 1626984885.6588
MEM 319.164062 1626984885.7639
MEM 319.648438 1626984885.8682
MEM 322.027344 1626984885.9713
MEM 324.398438 1626984886.0754
MEM 326.765625 1626984886.1786
MEM 329.167969 1626984886.2827
MEM 331.597656 1626984886.3879
MEM 334.011719 1626984886.4921
MEM 336.457031 1626984886.5973
MEM 338.820312 1626984886.6989
MEM 341.183594 1626984886.8008
MEM 343.570312 1626984886.9035
MEM 345.992188 1626984887.0078
MEM 348.417969 1626984887.1113
MEM 350.789062 1626984887.2139
MEM 352.273438 1626984887.3185
MEM 353.316406 1626984887.4237
MEM 355.718750 1626984887.5269
MEM 358.160156 1626984887.6318
MEM 360.562500 1626984887.7343
MEM 362.972656 1626984887.8376
MEM 365.375000 1626984887.9415
MEM 367.703125 1626984888.0421
MEM 370.082031 1626984888.1442
MEM 372.476562 1626984888.2474
MEM 374.816406 1626984888.3480
MEM 377.261719 1626984888.4532
MEM 379.582031 1626984888.5552
MEM 382.003906 1626984888.6602
MEM 385.394531 1626984888.7639
MEM 387.789062 1626984888.8674
MEM 390.175781 1626984888.9713
MEM 436.421875 1626984889.0747
MEM 457.539062 1626984889.1788
MEM 457.539062 1626984889.2791
MEM 459.761719 1626984889.3844
MEM 462.117188 1626984889.4847
MEM 465.691406 1626984889.5897
MEM 468.128906 1626984889.6942
MEM 470.566406 1626984889.7976
MEM 472.968750 1626984889.9012
MEM 474.101562 1626984890.0016
MEM 474.109375 1626984890.1059
MEM 474.117188 1626984890.2078
MEM 474.117188 1626984890.3111
MEM 474.121094 1626984890.4139
MEM 474.121094 1626984890.5145
MEM 474.121094 1626984890.6151
MEM 474.125000 1626984890.7172
MEM 474.125000 1626984890.8182
MEM 474.125000 1626984890.9226
MEM 474.125000 1626984891.0260
MEM 474.125000 1626984891.1278
MEM 474.125000 1626984891.2297
MEM 474.125000 1626984891.3315
MEM 474.128906 1626984891.4350
MEM 474.128906 1626984891.5374
MEM 474.128906 1626984891.6421
MEM 474.128906 1626984891.7450
MEM 474.128906 1626984891.8490
MEM 474.128906 1626984891.9498
MEM 474.128906 1626984892.0501
MEM 474.128906 1626984892.1506
MEM 474.128906 1626984892.2515
MEM 474.128906 1626984892.3556
MEM 474.132812 1626984892.4569
MEM 474.132812 1626984892.5620
MEM 474.132812 1626984892.6650
MEM 474.132812 1626984892.7671
MEM 474.132812 1626984892.8678
MEM 474.132812 1626984892.9692
MEM 474.148438 1626984893.0723
MEM 474.148438 1626984893.1754
MEM 474.148438 1626984893.2784
MEM 474.148438 1626984893.3802
MEM 474.148438 1626984893.4809
MEM 474.148438 1626984893.5848
MEM 474.148438 1626984893.6854
MEM 474.148438 1626984893.7868
MEM 474.148438 1626984893.8896
MEM 474.152344 1626984893.9929
MEM 474.152344 1626984894.0974
MEM 474.152344 1626984894.1991
MEM 474.152344 1626984894.3013
MEM 474.152344 1626984894.4025
MEM 474.152344 1626984894.5028
MEM 474.152344 1626984894.6074
MEM 474.152344 1626984894.7109
MEM 474.152344 1626984894.8116
MEM 474.152344 1626984894.9157
MEM 474.152344 1626984895.0162
MEM 474.152344 1626984895.1202
MEM 474.152344 1626984895.2210
MEM 474.156250 1626984895.3214
MEM 474.199219 1626984895.4219
MEM 474.199219 1626984895.5227
MEM 474.199219 1626984895.6235
MEM 474.207031 1626984895.7278
MEM 474.207031 1626984895.8323
MEM 474.207031 1626984895.9332
MEM 474.207031 1626984896.0371
MEM 474.207031 1626984896.1419
MEM 474.207031 1626984896.2425
MEM 474.207031 1626984896.3473
MEM 474.207031 1626984896.4516
MEM 474.207031 1626984896.5555
MEM 474.207031 1626984896.6563
MEM 474.207031 1626984896.7572
MEM 474.210938 1626984896.8622
MEM 474.210938 1626984896.9657
MEM 474.210938 1626984897.0689
MEM 474.210938 1626984897.1741
MEM 474.210938 1626984897.2758
MEM 474.210938 1626984897.3810
MEM 474.214844 1626984897.4844
MEM 474.214844 1626984897.5873
MEM 474.214844 1626984897.6892
MEM 474.214844 1626984897.7925
MEM 474.214844 1626984897.8974
MEM 515.769531 1626984898.0015
MEM 531.250000 1626984898.1047
MEM 537.066406 1626984898.2079
MEM 542.781250 1626984898.3104
MEM 548.746094 1626984898.4156
MEM 554.550781 1626984898.5194
MEM 560.378906 1626984898.6237
MEM 566.039062 1626984898.7249
MEM 571.617188 1626984898.8253
MEM 578.449219 1626984898.9277
MEM 584.250000 1626984899.0287
MEM 590.027344 1626984899.1330
MEM 595.871094 1626984899.2364
MEM 601.652344 1626984899.3393
MEM 607.531250 1626984899.4435
MEM 613.417969 1626984899.5473
MEM 619.261719 1626984899.6510
MEM 625.078125 1626984899.7530
MEM 631.023438 1626984899.8566
MEM 634.210938 1626984899.9582
MEM 634.210938 1626984900.0594
MEM 634.953125 1626984900.1639
MEM 639.371094 1626984900.2661
MEM 645.050781 1626984900.3695
MEM 650.808594 1626984900.4715
MEM 656.554688 1626984900.5741
MEM 662.300781 1626984900.6758
MEM 668.066406 1626984900.7786
MEM 673.925781 1626984900.8838
MEM 680.863281 1626984900.9874
MEM 686.824219 1626984901.0923
MEM 690.980469 1626984901.1973
MEM 695.027344 1626984901.2995
MEM 699.101562 1626984901.4029
MEM 703.097656 1626984901.5037
MEM 707.152344 1626984901.6067
MEM 711.250000 1626984901.7106
MEM 715.378906 1626984901.8138
MEM 719.402344 1626984901.9162
MEM 723.464844 1626984902.0196
MEM 727.562500 1626984902.1239
MEM 731.550781 1626984902.2262
MEM 736.816406 1626984902.3314
MEM 742.714844 1626984902.4362
MEM 747.976562 1626984902.5365
MEM 753.273438 1626984902.6377
MEM 758.597656 1626984902.7395
MEM 763.933594 1626984902.8407
MEM 769.363281 1626984902.9441
MEM 774.800781 1626984903.0480
MEM 780.300781 1626984903.1529
MEM 785.582031 1626984903.2542
MEM 791.960938 1626984903.3556
MEM 655.011719 1626984903.4578
MEM 590.562500 1626984903.5605
MEM 552.242188 1626984903.6639
MEM 553.531250 1626984903.7677
MEM 555.140625 1626984903.8691
MEM 556.781250 1626984903.9733
MEM 554.535156 1626984904.0760
MEM 484.988281 1626984904.1766
MEM 421.238281 1626984904.2809
MEM 331.281250 1626984904.3847
MEM 230.859375 1626984904.4893
MEM 148.359375 1626984904.5944
MEM 92.855469 1626984904.6990
MEM 75.875000 1626984904.8005
MEM 75.875000 1626984904.9014
MEM 75.875000 1626984905.0030
MEM 75.875000 1626984905.1050
MEM 75.875000 1626984905.2085
MEM 75.906250 1626984905.3113
MEM 79.410156 1626984905.4139
MEM 80.957031 1626984905.5180
MEM 82.800781 1626984905.6189
MEM 85.011719 1626984905.7191
MEM 87.019531 1626984905.8198
MEM 89.687500 1626984905.9206
MEM 109.132812 1626984906.0250
MEM 119.492188 1626984906.1258
MEM 119.492188 1626984906.2272
MEM 119.492188 1626984906.3302
MEM 119.492188 1626984906.4339
MEM 119.492188 1626984906.5352
MEM 119.492188 1626984906.6362
MEM 119.492188 1626984906.7366
MEM 119.492188 1626984906.8376
MEM 119.492188 1626984906.9406
MEM 119.492188 1626984907.0442
MEM 119.492188 1626984907.1464
MEM 119.492188 1626984907.2493
MEM 119.492188 1626984907.3544
MEM 119.492188 1626984907.4560
MEM 119.492188 1626984907.5596
MEM 119.492188 1626984907.6645
MEM 119.492188 1626984907.7688
MEM 119.492188 1626984907.8693
MEM 119.492188 1626984907.9724
MEM 119.492188 1626984908.0751
MEM 119.492188 1626984908.1790
MEM 119.492188 1626984908.2819
MEM 119.492188 1626984908.3861
MEM 119.492188 1626984908.4866
MEM 119.492188 1626984908.5890
MEM 119.492188 1626984908.6941
MEM 119.492188 1626984908.7972
MEM 119.492188 1626984908.8997
MEM 119.492188 1626984909.0049
MEM 137.285156 1626984909.1069
MEM 137.824219 1626984909.2093
MEM 149.050781 1626984909.3139
MEM 149.054688 1626984909.4191
MEM 149.054688 1626984909.5237
MEM 149.054688 1626984909.6243
MEM 149.054688 1626984909.7293
MEM 149.054688 1626984909.8315
MEM 149.054688 1626984909.9360
MEM 149.054688 1626984910.0378
MEM 149.054688 1626984910.1411
MEM 149.054688 1626984910.2445
MEM 149.054688 1626984910.3486
MEM 149.054688 1626984910.4527
MEM 149.054688 1626984910.5562
MEM 149.054688 1626984910.6601
MEM 149.054688 1626984910.7638
MEM 149.054688 1626984910.8658
MEM 149.054688 1626984910.9660
MEM 149.054688 1626984911.0695
MEM 144.046875 1626984911.1735
MEM 72.921875 1626984911.2743
MEM 74.445312 1626984911.3771
MEM 75.421875 1626984911.4791
MEM 83.632812 1626984911.5800
MEM 87.292969 1626984911.6819
MEM 87.292969 1626984911.7871
MEM 87.292969 1626984911.8900
MEM 87.292969 1626984911.9934
MEM 87.292969 1626984912.0940
MEM 87.292969 1626984912.1946
MEM 87.292969 1626984912.2987
MEM 87.292969 1626984912.4011
MEM 87.292969 1626984912.5029
MEM 87.292969 1626984912.6059
MEM 87.292969 1626984912.7107
MEM 87.292969 1626984912.8131
MEM 87.292969 1626984912.9177
MEM 87.292969 1626984913.0203
MEM 87.859375 1626984913.1222
MEM 87.859375 1626984913.2260
MEM 87.859375 1626984913.3290
MEM 87.859375 1626984913.4318
MEM 87.859375 1626984913.5355
MEM 99.839844 1626984913.6366
MEM 105.941406 1626984913.7396
MEM 105.941406 1626984913.8421
